Brand,Store_Count,City_Cover,Average_Price
红桃三手造酸奶,86,20,19
怂柠SONGLEMON,86,14,13
泰nice·泰茶公司,85,28,16
澜记香港饮品专门店,85,34,17
抹简单,85,30,14
茶道夫,85,16,12
茶月山·潮汕茶店,85,19,19
雾鲜,83,48,15
CHENG丞茶,82,29,12
玛雅柠茶,82,11,13
汕饮糖水,81,16,6
呦呦熊酸奶,81,51,11
下一站,81,24,14
壶见,81,8,15
叹鸳鸯,81,10,11
TANING挞柠果蔬茶,80,39,15
宝珠奶酪,80,17,24
春雨颂茶局,80,49,12
春熙谢茶,80,18,16
朗茶LANGTEA,79,11,10
世家堂·凉茶· 甜品,78,2,23
VQ鲜榨果汁,78,35,21
昊昊王子,77,10,7
诺杯·茉莉鲜奶茶,77,50,10
黑洪堂,76,14,14
老广记合发国民水铺,75,52,8
车与柠·霸王杯柠檬茶,75,12,11
邓老凉茶,74,20,12
心研茶,74,29,17
茶醉桃溪·原叶鲜奶茶,73,53,14
幸福侯彩擂,72,39,14
哈姆特布丁茶饮,71,19,15
Happy Lemon,71,34,15
三强牛奶,70,1,8
宝圆圆·现炒珍珠奶茶,70,22,10
朗朗家八宝粥,70,15,
兜仕茶,70,31,
第M空间,69,56,10
梧桐姥姥,69,15,17
茶亭序,68,37,15
茶千颜·花香茶,67,18,13
古御贡茶,67,15,12
烧柠·柠檬茶,67,7,11
偷茶喝,67,8,8
Chao's Yogurt,66,22,
易阿姨奶茶,66,11,12
大满糖,66,9,16
海天堂龟苓膏,66,6,35
不二の茶,66,5,12
应峰鲜奶坊·现制鲜奶饮品,66,3,13
苏阁鲜果茶,65,12,
苹果树上的梨,65,32,16
COMEBUY甘杯,65,8,14
爆柠,64,12,10
山住茶,64,16,
饮悦工坊,64,34,7
七港九,64,13,12
靠杯鲜果茶,64,35,9
益益1956鲜奶吧,64,4,13
柠曼品·鲜果茶,64,11,14
麦山伴茶,63,4,18
冰界柠檬茶,62,14,10
爱尔牛奶,62,6,23
元小牛,61,45,8
Q一族,61,15,10
麽麽蜜呀,61,9,9
佳宝乳业,61,5,50
鲜果茶,61,45,
茶歪歪·调茶局,60,49,9
阿爆柠檬茶,60,8,13
去茶山,60,13,22
潮汕良心果汁,60,8,13
问茶师,60,6,
黎恩凉茶,59,4,15
椰不二,58,35,19
万物潮茶,58,5,12
唐沫茶兮,58,7,17
柒茶,58,47,17
澜将军茶饮,57,10,13
皇氏新鲜屋,57,2,15
优果颐,57,9,11
清心堂凉茶,57,22,12
萃茶师,56,13,17
桃园三章,56,27,11
蜀茶山·原叶花香茶,56,12,14
咕噜咕噜·章鱼小丸子,56,21,17
椿风·养身茶饮,56,22,18
菊乐奶屋,56,1,
甘茶度,55,27,13
今后柠檬茶,55,10,16
渣柠,55,10,13
茶乙己,54,40,15
果麦,54,18,12
眷茶,54,11,17
王柠,54,15,
奈喜乐·分子果汁,54,4,21
鹿角巷,53,27,19
大通冰室,53,26,15
喜阁里茶,53,24,13
乌名见客,52,20,12
鲜芒多·鲜果茶,52,11,15
Salud撒露欧洲冻酸奶,52,10,27
茯灵记·轻养东方茶,52,35,15
INCHA印茶,52,26,15
蜜饮如初,52,11,8
摇美味,52,5,16
渣柠·手作柠檬茶,52,6,12
柠柠逅,52,12,12
新作之茶,51,18,
茶茶巫CHACHAWU,51,45,14
爷爷自在茶,51,14,17
皇茶妃饮,51,6,7
清连鲜榨果汁,51,8,12
果呀呀,50,3,27
水舞功夫,50,17,13
季客茶,50,4,10
CALLITEA喜见茶山,49,39,14
R&B珍奶,49,24,15
通喜果汁·宝贝爱喝,48,6,18
茶丰爆,48,3,11
芒小将,48,16,18
又炒酸奶,47,13,17
乐活事·手作鲜果茶,47,8,17
琥珀道茶,47,13,8
山山茶茶,47,19,16
奶茶博士,46,24,12
果多茶多,46,2,7
小金金手作,45,12,22
农夫山泉直营店,45,12,24
张阿姨奶茶,45,28,14
广芳园·香港潮饮店,45,24,16
御茶章,45,7,11
炎茶先生,45,12,10
大卡司DAKASI,44,16,14
翠茶,44,7,13
CHARS唐吟茶事,43,35,15
舞茶道,43,17,14
天友生活,43,1,10
倌茶·宋韵东方茶,42,40,14
青楠五味茶,42,21,13
往事若茶,42,33,14
果之满满鲜榨果汁,42,2,21
龙一柠檬茶,42,7,14
玉米大叔,42,28,10
逅座十二茶,41,34,12
川町太郎,41,22,17
T9tea,41,12,38
上善仲景饮子铺,41,25,
奶爸王子,40,32,13
汇茶,40,12,12
台北吸刻,40,5,16
YO!TEA有茶,40,4,20
茶桔便,39,22,15
王柠·正宗广东柠茶王,39,12,16
乐叔柠檬茶,39,10,17
茶确幸,39,9,16
煲甄珠·老红糖珍珠鲜奶茶,39,5,15
优资茶,39,14,
潮喜·手打柠檬茶,38,10,16
ORDER柠檬茶,38,10,17
1950德啤工坊,38,13,21
千城慕雪,38,2,8
痴迷CHIMI·手打柠檬茶,38,5,13
奶优小站,37,33,12
山茶涧·花果鲜奶茶,37,29,14
热力雪烧仙草,37,10,10
记得你潮汕甘草水果·果汁冰,37,16,16
芋时代,37,5,17
大叔私房茶,37,7,11
芭堤啦·老挝奶咖,36,28,13
浅茶,36,11,13
闲小茶,36,6,16
茶维司,36,4,13
果膳坊,36,9,19
口口冰,36,6,23
哆果果?潮汕甘草水果,36,21,19
TCROSS交茶点,35,27,14
小糖日记,35,32,10
布维记·鲜茶铺,35,4,16
大茶沏,35,7,12
柠殿·纯手打柠檬茶,35,7,14
黎传凉茶,35,6,14
古阿古豆沙牛乳,35,9,11
Rg手作柠檬茶,35,9,
周四晚·不止碰到茶,34,9,19
完达山·乳此新鲜,34,14,14
鲜果优悠·奶茶鲜果茶,34,7,9
茶七分,34,8,10
大柠制茶,34,10,17
长春堂顺时而饮,34,8,24
泰芒了,33,22,15
蜜玉烧仙草,33,8,10
茶精灵现场手作茶,33,14,10
niu niu c&m,33,3,20
森茶,33,9,19
SOFU梳芙,33,3,16
茹菓,33,11,21
清心堂·甜品·草本茶,33,17,15
茶麦多,33,15,8
雪格之城,33,10,7
cococean椰子水,33,10,30
冰拾叁,33,10,
椿风,32,13,25
大茶杯,32,10,10
茶道里途,32,3,14
八婆婆烧仙草,32,3,12
哈啤熊精酿啤酒屋,32,7,31
口味100·鲜果茶,32,10,10
抡擂·手打柠檬茶,32,21,13
